Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
13341,11-07-2023 15:00,07-10-2023 20:00,11-07-2023 04:21,Indore,357,FRAUD,55,M,Blunt Object,Other Crime,14,No,
13342,12-07-2023 16:00,07-10-2023 21:00,11-07-2023 18:39,Mumbai,205,SHOPLIFTING,75,F,Knife,Other Crime,18,No,
13343,12-07-2023 08:00,07-10-2023 22:00,11-07-2023 04:01,Pune,252,VANDALISM,22,F,Other,Other Crime,16,Yes,05-08-2023 08:00
13344,12-07-2023 20:00,07-10-2023 23:00,11-07-2023 14:32,Delhi,251,PUBLIC INTOXICATION,74,M,Knife,Other Crime,2,No,
13345,12-07-2023 09:00,07-11-2023 00:00,11-07-2023 21:16,Meerut,427,ILLEGAL POSSESSION,77,M,None,Other Crime,1,Yes,06-08-2023 09:00
13346,11-07-2023 07:00,07-11-2023 01:00,11-07-2023 22:56,Delhi,457,VEHICLE - STOLEN,54,M,Knife,Violent Crime,15,Yes,31-08-2023 07:00
13347,11-07-2023 03:00,07-11-2023 02:00,11-07-2023 20:22,Delhi,121,VANDALISM,60,F,Poison,Other Crime,2,No,
13348,12-07-2023 18:00,07-11-2023 03:00,11-07-2023 20:22,Bangalore,476,TRAFFIC VIOLATION,11,F,None,Traffic Fatality,13,Yes,23-07-2023 18:00
13349,12-07-2023 09:00,07-11-2023 04:00,11-07-2023 10:36,Patna,165,EXTORTION,47,M,Other,Other Crime,6,No,
13350,11-07-2023 07:00,07-11-2023 05:00,11-07-2023 09:11,Pune,203,PUBLIC INTOXICATION,45,F,Firearm,Other Crime,7,Yes,07-08-2023 07:00
13351,13-07-2023 15:00,07-11-2023 06:00,12-07-2023 01:35,Ahmedabad,283,ASSAULT,14,F,Poison,Violent Crime,19,No,
13352,11-07-2023 13:00,07-11-2023 07:00,11-07-2023 15:54,Nagpur,337,IDENTITY THEFT,68,M,None,Violent Crime,15,Yes,08-10-2023 13:00
13353,12-07-2023 09:00,07-11-2023 08:00,11-07-2023 14:02,Bangalore,320,SHOPLIFTING,69,F,Other,Other Crime,13,No,
13354,12-07-2023 10:00,07-11-2023 09:00,11-07-2023 15:03,Kolkata,476,DRUG OFFENSE,63,F,Firearm,Other Crime,6,Yes,31-07-2023 10:00
13355,13-07-2023 10:00,07-11-2023 10:00,12-07-2023 02:17,Chennai,284,VEHICLE - STOLEN,74,F,None,Violent Crime,10,Yes,26-09-2023 10:00
13356,13-07-2023 22:00,07-11-2023 11:00,11-07-2023 14:41,Hyderabad,255,PUBLIC INTOXICATION,49,M,Knife,Other Crime,13,No,
13357,12-07-2023 17:00,07-11-2023 12:00,12-07-2023 05:40,Kolkata,349,HOMICIDE,66,F,Other,Other Crime,15,No,
13358,13-07-2023 03:00,07-11-2023 13:00,12-07-2023 11:54,Mumbai,519,KIDNAPPING,37,F,Knife,Other Crime,18,No,
13359,14-07-2023 08:00,07-11-2023 14:00,11-07-2023 22:55,Chennai,231,DRUG OFFENSE,37,F,Blunt Object,Other Crime,3,Yes,21-07-2023 08:00
13360,12-07-2023 08:00,07-11-2023 15:00,11-07-2023 23:11,Lucknow,222,KIDNAPPING,29,F,None,Other Crime,12,No,
13361,12-07-2023 05:00,07-11-2023 16:00,12-07-2023 06:41,Delhi,267,FIREARM OFFENSE,46,F,Explosives,Fire Accident,7,Yes,11-08-2023 05:00
13362,12-07-2023 19:00,07-11-2023 17:00,12-07-2023 02:51,Ahmedabad,316,PUBLIC INTOXICATION,50,F,None,Other Crime,15,Yes,27-07-2023 19:00
13363,12-07-2023 01:00,07-11-2023 18:00,12-07-2023 05:00,Thane,539,FIREARM OFFENSE,28,F,None,Fire Accident,3,Yes,22-08-2023 01:00
13364,12-07-2023 20:00,07-11-2023 19:00,12-07-2023 04:46,Lucknow,256,SHOPLIFTING,26,M,Explosives,Other Crime,1,Yes,28-08-2023 20:00
13365,12-07-2023 11:00,07-11-2023 20:00,12-07-2023 12:27,Kolkata,342,DRUG OFFENSE,25,F,Explosives,Other Crime,19,No,
13366,13-07-2023 04:00,07-11-2023 21:00,12-07-2023 12:42,Delhi,304,VANDALISM,57,F,None,Other Crime,13,No,
13367,14-07-2023 17:00,07-11-2023 22:00,12-07-2023 16:59,Varanasi,144,COUNTERFEITING,15,F,Knife,Other Crime,9,Yes,04-08-2023 17:00
13368,13-07-2023 01:00,07-11-2023 23:00,12-07-2023 22:34,Hyderabad,373,SHOPLIFTING,36,F,Firearm,Other Crime,16,No,
13369,13-07-2023 23:00,07-12-2023 00:00,12-07-2023 23:15,Ahmedabad,470,ASSAULT,12,F,None,Violent Crime,9,No,
13370,12-07-2023 12:00,07-12-2023 01:00,12-07-2023 04:36,Bangalore,474,FIREARM OFFENSE,66,F,None,Fire Accident,18,No,
13371,12-07-2023 06:00,07-12-2023 02:00,12-07-2023 22:22,Delhi,519,SEXUAL ASSAULT,54,M,Other,Violent Crime,2,Yes,22-08-2024 06:00
13372,12-07-2023 15:00,07-12-2023 03:00,12-07-2023 22:13,Ahmedabad,321,EXTORTION,47,F,Poison,Other Crime,4,Yes,24-07-2023 15:00
13373,13-07-2023 03:00,07-12-2023 04:00,13-07-2023 00:04,Indore,458,ASSAULT,33,M,Knife,Violent Crime,9,No,
13374,15-07-2023 02:00,07-12-2023 05:00,12-07-2023 06:30,Hyderabad,414,BURGLARY,30,M,Firearm,Other Crime,14,Yes,25-10-2023 02:00
13375,13-07-2023 19:00,07-12-2023 06:00,12-07-2023 09:26,Hyderabad,379,VANDALISM,38,M,Poison,Other Crime,8,Yes,01-10-2023 19:00
13376,12-07-2023 16:00,07-12-2023 07:00,12-07-2023 23:36,Kolkata,385,ILLEGAL POSSESSION,76,M,Explosives,Other Crime,18,No,
13377,14-07-2023 19:00,07-12-2023 08:00,12-07-2023 19:14,Delhi,428,HOMICIDE,61,M,Poison,Other Crime,18,Yes,24-03-2025 19:00
13378,13-07-2023 21:00,07-12-2023 09:00,12-07-2023 09:03,Jaipur,211,COUNTERFEITING,34,M,Poison,Other Crime,13,Yes,19-09-2023 21:00
13379,13-07-2023 18:00,07-12-2023 10:00,12-07-2023 10:29,Nashik,596,CYBERCRIME,74,F,None,Other Crime,12,No,
13380,14-07-2023 22:00,07-12-2023 11:00,13-07-2023 09:36,Lucknow,126,VANDALISM,49,F,Other,Other Crime,3,Yes,11-10-2023 22:00
13381,13-07-2023 01:00,07-12-2023 12:00,13-07-2023 00:10,Agra,138,FRAUD,60,M,Explosives,Other Crime,8,Yes,25-07-2023 01:00
13382,12-07-2023 23:00,07-12-2023 13:00,12-07-2023 15:52,Delhi,122,BURGLARY,65,M,Firearm,Other Crime,9,Yes,07-09-2023 23:00
13383,13-07-2023 11:00,07-12-2023 14:00,13-07-2023 02:55,Kanpur,376,IDENTITY THEFT,46,F,Other,Violent Crime,1,Yes,13-08-2023 11:00
13384,13-07-2023 17:00,07-12-2023 15:00,13-07-2023 05:12,Thane,190,DRUG OFFENSE,34,M,Other,Other Crime,4,Yes,28-08-2023 17:00
13385,14-07-2023 15:00,07-12-2023 16:00,13-07-2023 08:27,Mumbai,369,DOMESTIC VIOLENCE,39,F,None,Violent Crime,7,Yes,19-08-2023 15:00
13386,13-07-2023 22:00,07-12-2023 17:00,13-07-2023 08:47,Jaipur,139,VANDALISM,75,F,Knife,Other Crime,11,No,
13387,15-07-2023 01:00,07-12-2023 18:00,13-07-2023 15:56,Kolkata,486,SHOPLIFTING,16,F,Poison,Other Crime,8,No,
13388,13-07-2023 09:00,07-12-2023 19:00,13-07-2023 18:30,Bangalore,591,FRAUD,33,M,Explosives,Other Crime,18,No,
13389,14-07-2023 15:00,07-12-2023 20:00,13-07-2023 06:02,Bangalore,142,ROBBERY,77,F,Knife,Violent Crime,2,Yes,03-12-2023 15:00
13390,13-07-2023 08:00,07-12-2023 21:00,13-07-2023 16:53,Bhopal,435,KIDNAPPING,53,F,None,Other Crime,3,No,
13391,14-07-2023 20:00,07-12-2023 22:00,13-07-2023 14:14,Pune,302,FRAUD,79,F,Other,Other Crime,10,No,
13392,13-07-2023 10:00,07-12-2023 23:00,13-07-2023 09:31,Bangalore,100,FRAUD,31,F,Poison,Other Crime,3,No,
13393,13-07-2023 14:00,07-13-2023 00:00,13-07-2023 11:13,Pune,374,EXTORTION,59,F,None,Other Crime,9,Yes,28-07-2023 14:00
13394,15-07-2023 04:00,07-13-2023 01:00,13-07-2023 20:06,Delhi,546,TRAFFIC VIOLATION,17,M,None,Traffic Fatality,10,No,
13395,14-07-2023 15:00,07-13-2023 02:00,13-07-2023 21:00,Ahmedabad,144,TRAFFIC VIOLATION,43,M,Knife,Traffic Fatality,12,No,
13396,15-07-2023 13:00,07-13-2023 03:00,13-07-2023 04:10,Bangalore,561,ASSAULT,50,F,Firearm,Violent Crime,13,Yes,03-10-2023 13:00
13397,13-07-2023 09:00,07-13-2023 04:00,14-07-2023 01:36,Hyderabad,534,FIREARM OFFENSE,56,F,Other,Fire Accident,14,No,
13398,13-07-2023 23:00,07-13-2023 05:00,14-07-2023 04:01,Kolkata,202,ASSAULT,69,F,Knife,Violent Crime,4,No,
13399,15-07-2023 16:00,07-13-2023 06:00,13-07-2023 12:32,Nagpur,150,SEXUAL ASSAULT,50,F,Other,Violent Crime,3,Yes,02-11-2024 16:00
13400,14-07-2023 17:00,07-13-2023 07:00,14-07-2023 05:43,Jaipur,538,PUBLIC INTOXICATION,37,F,None,Other Crime,16,No,
13401,15-07-2023 08:00,07-13-2023 08:00,13-07-2023 23:41,Mumbai,534,FIREARM OFFENSE,79,F,Other,Fire Accident,2,No,
13402,15-07-2023 01:00,07-13-2023 09:00,14-07-2023 00:11,Bangalore,145,COUNTERFEITING,28,F,Blunt Object,Other Crime,14,No,
13403,14-07-2023 08:00,07-13-2023 10:00,14-07-2023 08:56,Hyderabad,409,HOMICIDE,28,F,Firearm,Other Crime,3,Yes,12-04-2024 08:00
13404,16-07-2023 06:00,07-13-2023 11:00,14-07-2023 09:27,Ahmedabad,260,ILLEGAL POSSESSION,54,F,Knife,Other Crime,7,No,
13405,15-07-2023 04:00,07-13-2023 12:00,14-07-2023 02:13,Ludhiana,302,VEHICLE - STOLEN,61,M,Explosives,Violent Crime,3,Yes,22-08-2023 04:00
13406,13-07-2023 18:00,07-13-2023 13:00,14-07-2023 04:50,Ahmedabad,515,IDENTITY THEFT,66,M,Firearm,Violent Crime,12,No,
13407,15-07-2023 05:00,07-13-2023 14:00,14-07-2023 04:57,Kolkata,325,BURGLARY,68,F,Other,Other Crime,15,No,
13408,15-07-2023 01:00,07-13-2023 15:00,14-07-2023 12:32,Kolkata,133,SHOPLIFTING,46,F,Blunt Object,Other Crime,17,No,
13409,14-07-2023 05:00,07-13-2023 16:00,14-07-2023 01:03,Ghaziabad,114,IDENTITY THEFT,64,F,Firearm,Violent Crime,19,Yes,21-09-2023 05:00
13410,13-07-2023 20:00,07-13-2023 17:00,14-07-2023 10:42,Delhi,390,ILLEGAL POSSESSION,20,F,Firearm,Other Crime,18,Yes,03-08-2023 20:00
13411,14-07-2023 12:00,07-13-2023 18:00,14-07-2023 05:11,Surat,334,TRAFFIC VIOLATION,57,M,Poison,Traffic Fatality,11,No,
13412,15-07-2023 14:00,07-13-2023 19:00,14-07-2023 15:19,Mumbai,530,ASSAULT,64,M,Blunt Object,Violent Crime,4,No,
13413,15-07-2023 23:00,07-13-2023 20:00,14-07-2023 17:47,Bangalore,468,KIDNAPPING,40,M,Firearm,Other Crime,15,Yes,26-08-2023 23:00
13414,14-07-2023 12:00,07-13-2023 21:00,14-07-2023 02:42,Surat,583,SHOPLIFTING,54,M,None,Other Crime,9,Yes,04-10-2023 12:00
13415,15-07-2023 03:00,07-13-2023 22:00,14-07-2023 03:54,Chennai,372,SEXUAL ASSAULT,31,F,Knife,Violent Crime,9,No,
13416,14-07-2023 15:00,07-13-2023 23:00,14-07-2023 03:01,Bangalore,554,FRAUD,71,F,Blunt Object,Other Crime,13,No,
13417,14-07-2023 18:00,07-14-2023 00:00,14-07-2023 08:33,Bangalore,495,BURGLARY,55,F,Blunt Object,Other Crime,9,No,
13418,14-07-2023 09:00,07-14-2023 01:00,14-07-2023 14:31,Thane,507,ROBBERY,21,F,Explosives,Violent Crime,9,Yes,03-10-2023 09:00
13419,16-07-2023 07:00,07-14-2023 02:00,14-07-2023 13:31,Chennai,538,COUNTERFEITING,16,F,Poison,Other Crime,18,Yes,26-09-2023 07:00
13420,16-07-2023 13:00,07-14-2023 03:00,14-07-2023 13:22,Pune,381,VEHICLE - STOLEN,31,F,None,Violent Crime,18,No,
13421,16-07-2023 18:00,07-14-2023 04:00,14-07-2023 04:25,Nagpur,138,FRAUD,41,M,Knife,Other Crime,5,Yes,24-08-2023 18:00
13422,16-07-2023 03:00,07-14-2023 05:00,15-07-2023 01:36,Delhi,340,PUBLIC INTOXICATION,18,F,Poison,Other Crime,15,Yes,21-07-2023 03:00
13423,15-07-2023 12:00,07-14-2023 06:00,14-07-2023 12:53,Hyderabad,235,HOMICIDE,75,M,Blunt Object,Other Crime,18,No,
13424,15-07-2023 21:00,07-14-2023 07:00,15-07-2023 04:46,Ludhiana,339,PUBLIC INTOXICATION,54,M,Blunt Object,Other Crime,18,Yes,29-07-2023 21:00
13425,16-07-2023 11:00,07-14-2023 08:00,14-07-2023 13:08,Hyderabad,297,IDENTITY THEFT,66,F,None,Violent Crime,11,Yes,12-10-2023 11:00
13426,15-07-2023 10:00,07-14-2023 09:00,14-07-2023 20:35,Mumbai,376,ROBBERY,20,F,Poison,Violent Crime,4,No,
13427,15-07-2023 00:00,07-14-2023 10:00,14-07-2023 17:51,Mumbai,142,BURGLARY,72,F,None,Other Crime,9,No,
13428,16-07-2023 21:00,07-14-2023 11:00,14-07-2023 21:38,Bangalore,214,ASSAULT,39,F,Explosives,Violent Crime,9,No,
13429,14-07-2023 15:00,07-14-2023 12:00,14-07-2023 23:48,Delhi,547,BURGLARY,32,F,Poison,Other Crime,12,No,
13430,17-07-2023 09:00,07-14-2023 13:00,14-07-2023 18:58,Chennai,383,SHOPLIFTING,79,F,Knife,Other Crime,1,No,
13431,16-07-2023 12:00,07-14-2023 14:00,14-07-2023 17:55,Ghaziabad,385,PUBLIC INTOXICATION,57,M,Other,Other Crime,14,No,
13432,15-07-2023 09:00,07-14-2023 15:00,14-07-2023 19:01,Surat,220,TRAFFIC VIOLATION,63,F,Firearm,Traffic Fatality,3,No,
13433,17-07-2023 07:00,07-14-2023 16:00,15-07-2023 13:37,Mumbai,430,CYBERCRIME,16,F,Other,Other Crime,8,Yes,29-08-2023 07:00
13434,15-07-2023 00:00,07-14-2023 17:00,15-07-2023 11:06,Bangalore,557,PUBLIC INTOXICATION,54,M,Blunt Object,Other Crime,6,Yes,11-08-2023 00:00
13435,17-07-2023 16:00,07-14-2023 18:00,14-07-2023 22:51,Hyderabad,368,TRAFFIC VIOLATION,15,M,Firearm,Traffic Fatality,8,Yes,20-07-2023 16:00
13436,17-07-2023 03:00,07-14-2023 19:00,15-07-2023 12:51,Delhi,148,KIDNAPPING,63,M,Explosives,Other Crime,13,Yes,07-08-2023 03:00
13437,16-07-2023 11:00,07-14-2023 20:00,15-07-2023 13:50,Jaipur,120,BURGLARY,68,F,Blunt Object,Other Crime,6,No,
13438,15-07-2023 00:00,07-14-2023 21:00,15-07-2023 14:16,Mumbai,202,ILLEGAL POSSESSION,24,M,Explosives,Other Crime,16,Yes,05-08-2023 00:00
13439,15-07-2023 05:00,07-14-2023 22:00,15-07-2023 21:40,Delhi,545,VEHICLE - STOLEN,54,F,Other,Violent Crime,5,No,
13440,16-07-2023 11:00,07-14-2023 23:00,15-07-2023 22:23,Delhi,469,ILLEGAL POSSESSION,70,F,Other,Other Crime,14,Yes,19-09-2023 11:00
13441,16-07-2023 17:00,07-15-2023 00:00,15-07-2023 23:29,Meerut,210,TRAFFIC VIOLATION,31,F,Blunt Object,Traffic Fatality,1,Yes,19-07-2023 17:00
13442,17-07-2023 05:00,07-15-2023 01:00,15-07-2023 07:44,Hyderabad,493,ROBBERY,19,F,Explosives,Violent Crime,7,No,
13443,17-07-2023 11:00,07-15-2023 02:00,15-07-2023 12:58,Ahmedabad,358,ROBBERY,24,F,None,Violent Crime,5,No,
13444,15-07-2023 17:00,07-15-2023 03:00,15-07-2023 12:22,Chennai,289,PUBLIC INTOXICATION,29,M,Knife,Other Crime,8,Yes,02-08-2023 17:00
13445,16-07-2023 08:00,07-15-2023 04:00,15-07-2023 04:40,Bangalore,383,EXTORTION,67,F,None,Other Crime,14,No,
13446,15-07-2023 07:00,07-15-2023 05:00,15-07-2023 07:17,Lucknow,142,KIDNAPPING,50,F,Other,Other Crime,3,Yes,11-08-2023 07:00
13447,15-07-2023 14:00,07-15-2023 06:00,15-07-2023 18:40,Delhi,587,COUNTERFEITING,17,M,Explosives,Other Crime,17,Yes,19-08-2023 14:00
13448,17-07-2023 02:00,07-15-2023 07:00,15-07-2023 11:02,Hyderabad,500,KIDNAPPING,62,M,None,Other Crime,14,No,
13449,17-07-2023 00:00,07-15-2023 08:00,15-07-2023 13:24,Mumbai,584,ILLEGAL POSSESSION,79,M,Blunt Object,Other Crime,6,No,
13450,16-07-2023 01:00,07-15-2023 09:00,16-07-2023 00:41,Kanpur,145,ARSON,79,F,Poison,Fire Accident,3,No,
13451,16-07-2023 17:00,07-15-2023 10:00,16-07-2023 00:23,Delhi,416,SEXUAL ASSAULT,77,M,Explosives,Violent Crime,9,No,
13452,17-07-2023 19:00,07-15-2023 11:00,16-07-2023 05:21,Kolkata,240,SEXUAL ASSAULT,16,F,None,Violent Crime,15,Yes,08-11-2024 19:00
13453,17-07-2023 18:00,07-15-2023 12:00,16-07-2023 03:46,Delhi,559,DRUG OFFENSE,30,F,Explosives,Other Crime,10,No,
13454,17-07-2023 01:00,07-15-2023 13:00,16-07-2023 07:31,Kanpur,143,ILLEGAL POSSESSION,76,F,Firearm,Other Crime,10,Yes,20-08-2023 01:00
13455,15-07-2023 15:00,07-15-2023 14:00,16-07-2023 07:48,Mumbai,122,DRUG OFFENSE,54,F,Blunt Object,Other Crime,3,Yes,11-08-2023 15:00
13456,16-07-2023 14:00,07-15-2023 15:00,15-07-2023 20:02,Kolkata,290,DOMESTIC VIOLENCE,70,F,Poison,Violent Crime,9,Yes,07-09-2023 14:00
13457,18-07-2023 03:00,07-15-2023 16:00,15-07-2023 18:50,Kanpur,525,ARSON,72,F,Poison,Fire Accident,5,No,
13458,17-07-2023 06:00,07-15-2023 17:00,16-07-2023 08:24,Kanpur,362,BURGLARY,35,M,Blunt Object,Other Crime,19,Yes,11-10-2023 06:00
13459,16-07-2023 09:00,07-15-2023 18:00,16-07-2023 13:52,Mumbai,353,EXTORTION,64,M,Blunt Object,Other Crime,16,Yes,06-10-2023 09:00
13460,17-07-2023 06:00,07-15-2023 19:00,16-07-2023 12:52,Bangalore,194,KIDNAPPING,10,M,Explosives,Other Crime,14,Yes,01-10-2023 06:00
13461,17-07-2023 12:00,07-15-2023 20:00,16-07-2023 05:47,Nagpur,464,SEXUAL ASSAULT,42,F,Blunt Object,Violent Crime,18,No,
13462,18-07-2023 13:00,07-15-2023 21:00,16-07-2023 18:15,Lucknow,286,TRAFFIC VIOLATION,21,F,Poison,Traffic Fatality,7,Yes,29-07-2023 13:00
13463,16-07-2023 06:00,07-15-2023 22:00,16-07-2023 05:24,Varanasi,400,ILLEGAL POSSESSION,68,F,Other,Other Crime,1,Yes,18-08-2023 06:00
13464,17-07-2023 06:00,07-15-2023 23:00,16-07-2023 12:03,Bangalore,404,ROBBERY,54,F,None,Violent Crime,7,Yes,14-12-2023 06:00
13465,17-07-2023 19:00,07-16-2023 00:00,16-07-2023 10:22,Hyderabad,257,EXTORTION,56,F,None,Other Crime,2,No,
13466,18-07-2023 14:00,07-16-2023 01:00,16-07-2023 23:57,Mumbai,243,COUNTERFEITING,25,M,Poison,Other Crime,7,Yes,16-09-2023 14:00
13467,17-07-2023 03:00,07-16-2023 02:00,16-07-2023 16:29,Mumbai,356,HOMICIDE,77,M,Blunt Object,Other Crime,7,Yes,14-07-2024 03:00
13468,16-07-2023 22:00,07-16-2023 03:00,16-07-2023 03:21,Bangalore,424,DRUG OFFENSE,75,F,Other,Other Crime,5,Yes,23-07-2023 22:00
13469,17-07-2023 05:00,07-16-2023 04:00,17-07-2023 02:21,Delhi,243,PUBLIC INTOXICATION,34,F,Firearm,Other Crime,7,No,
13470,16-07-2023 09:00,07-16-2023 05:00,16-07-2023 16:25,Nagpur,435,VEHICLE - STOLEN,45,F,Explosives,Violent Crime,8,Yes,19-08-2023 09:00
13471,18-07-2023 21:00,07-16-2023 06:00,16-07-2023 18:28,Delhi,423,TRAFFIC VIOLATION,60,F,Knife,Traffic Fatality,9,Yes,09-08-2023 21:00
13472,16-07-2023 13:00,07-16-2023 07:00,16-07-2023 17:13,Delhi,335,SHOPLIFTING,46,M,None,Other Crime,5,Yes,02-09-2023 13:00
13473,18-07-2023 01:00,07-16-2023 08:00,16-07-2023 17:50,Lucknow,153,ILLEGAL POSSESSION,33,F,Explosives,Other Crime,19,Yes,07-09-2023 01:00
13474,17-07-2023 07:00,07-16-2023 09:00,16-07-2023 21:59,Delhi,457,ARSON,15,M,Knife,Fire Accident,11,No,
13475,17-07-2023 15:00,07-16-2023 10:00,16-07-2023 16:18,Mumbai,150,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,14,No,
13476,19-07-2023 05:00,07-16-2023 11:00,16-07-2023 22:02,Bangalore,376,TRAFFIC VIOLATION,74,M,Poison,Traffic Fatality,1,No,
13477,16-07-2023 23:00,07-16-2023 12:00,16-07-2023 18:19,Mumbai,292,BURGLARY,39,F,None,Other Crime,19,No,
13478,18-07-2023 00:00,07-16-2023 13:00,16-07-2023 16:34,Nagpur,192,VEHICLE - STOLEN,56,F,Knife,Violent Crime,10,No,
13479,18-07-2023 06:00,07-16-2023 14:00,16-07-2023 21:22,Visakhapatnam,553,SEXUAL ASSAULT,79,F,Knife,Violent Crime,13,Yes,25-08-2024 06:00
13480,17-07-2023 09:00,07-16-2023 15:00,16-07-2023 17:59,Hyderabad,449,ASSAULT,69,F,Poison,Violent Crime,7,No,
13481,19-07-2023 02:00,07-16-2023 16:00,16-07-2023 18:23,Mumbai,458,HOMICIDE,34,M,Blunt Object,Other Crime,6,No,
13482,17-07-2023 22:00,07-16-2023 17:00,16-07-2023 18:53,Hyderabad,153,ARSON,33,M,Knife,Fire Accident,18,No,
13483,19-07-2023 04:00,07-16-2023 18:00,17-07-2023 00:00,Bangalore,582,DOMESTIC VIOLENCE,43,M,Explosives,Violent Crime,16,Yes,02-10-2023 04:00
13484,17-07-2023 15:00,07-16-2023 19:00,17-07-2023 10:10,Bangalore,120,PUBLIC INTOXICATION,66,F,Blunt Object,Other Crime,9,No,
13485,17-07-2023 09:00,07-16-2023 20:00,17-07-2023 16:09,Jaipur,531,DRUG OFFENSE,65,F,Other,Other Crime,11,No,
13486,18-07-2023 12:00,07-16-2023 21:00,17-07-2023 20:13,Pune,493,COUNTERFEITING,20,F,Blunt Object,Other Crime,15,No,
13487,18-07-2023 07:00,07-16-2023 22:00,17-07-2023 06:17,Kolkata,271,VEHICLE - STOLEN,66,F,Blunt Object,Violent Crime,2,Yes,06-10-2023 07:00
13488,19-07-2023 04:00,07-16-2023 23:00,17-07-2023 04:01,Delhi,141,BURGLARY,35,F,Poison,Other Crime,5,Yes,16-11-2023 04:00
13489,19-07-2023 22:00,07-17-2023 00:00,17-07-2023 08:31,Delhi,171,HOMICIDE,36,M,Other,Other Crime,3,Yes,10-07-2025 22:00
13490,18-07-2023 06:00,07-17-2023 01:00,17-07-2023 10:08,Patna,599,FIREARM OFFENSE,24,M,Other,Fire Accident,7,No,
13491,17-07-2023 16:00,07-17-2023 02:00,17-07-2023 07:13,Mumbai,280,IDENTITY THEFT,72,F,Explosives,Violent Crime,16,Yes,28-09-2023 16:00
13492,19-07-2023 03:00,07-17-2023 03:00,17-07-2023 23:37,Thane,460,KIDNAPPING,70,F,Knife,Other Crime,5,No,
13493,19-07-2023 23:00,07-17-2023 04:00,17-07-2023 08:06,Ludhiana,114,ROBBERY,28,F,Poison,Violent Crime,7,Yes,02-01-2024 23:00
13494,19-07-2023 04:00,07-17-2023 05:00,17-07-2023 19:02,Kolkata,585,FIREARM OFFENSE,56,F,Blunt Object,Fire Accident,17,Yes,14-08-2023 04:00
13495,18-07-2023 03:00,07-17-2023 06:00,17-07-2023 09:37,Bangalore,520,EXTORTION,68,M,Poison,Other Crime,8,No,
13496,19-07-2023 03:00,07-17-2023 07:00,17-07-2023 07:10,Agra,101,ILLEGAL POSSESSION,40,F,Firearm,Other Crime,17,No,
13497,20-07-2023 02:00,07-17-2023 08:00,17-07-2023 20:41,Bangalore,464,FRAUD,72,F,Blunt Object,Other Crime,5,Yes,05-10-2023 02:00
13498,19-07-2023 09:00,07-17-2023 09:00,17-07-2023 17:11,Jaipur,133,SHOPLIFTING,50,F,Poison,Other Crime,19,No,
13499,18-07-2023 01:00,07-17-2023 10:00,17-07-2023 20:41,Lucknow,576,EXTORTION,48,F,Other,Other Crime,6,Yes,06-08-2023 01:00
13500,20-07-2023 05:00,07-17-2023 11:00,18-07-2023 03:36,Rajkot,414,DOMESTIC VIOLENCE,76,M,Blunt Object,Violent Crime,3,No,
13501,18-07-2023 16:00,07-17-2023 12:00,17-07-2023 12:22,Mumbai,365,EXTORTION,36,F,Blunt Object,Other Crime,8,Yes,22-08-2023 16:00
13502,18-07-2023 13:00,07-17-2023 13:00,18-07-2023 04:21,Chennai,143,ARSON,33,F,Poison,Fire Accident,19,Yes,12-08-2023 13:00
13503,20-07-2023 02:00,07-17-2023 14:00,18-07-2023 12:27,Pune,421,PUBLIC INTOXICATION,45,F,Explosives,Other Crime,2,Yes,12-08-2023 02:00
13504,19-07-2023 14:00,07-17-2023 15:00,17-07-2023 15:16,Surat,238,ROBBERY,31,F,Knife,Violent Crime,19,No,
13505,20-07-2023 09:00,07-17-2023 16:00,18-07-2023 01:19,Nagpur,439,TRAFFIC VIOLATION,66,M,None,Traffic Fatality,7,Yes,07-08-2023 09:00
13506,18-07-2023 10:00,07-17-2023 17:00,17-07-2023 21:45,Bangalore,440,ROBBERY,66,F,None,Violent Crime,17,No,
13507,18-07-2023 18:00,07-17-2023 18:00,18-07-2023 06:19,Bangalore,187,EXTORTION,38,M,Other,Other Crime,4,No,
13508,17-07-2023 23:00,07-17-2023 19:00,18-07-2023 00:03,Nagpur,531,VEHICLE - STOLEN,46,F,Knife,Violent Crime,10,Yes,11-09-2023 23:00
13509,19-07-2023 22:00,07-17-2023 20:00,17-07-2023 20:56,Ghaziabad,419,EXTORTION,61,M,Poison,Other Crime,13,No,
13510,18-07-2023 14:00,07-17-2023 21:00,18-07-2023 17:16,Delhi,358,ARSON,48,F,Poison,Fire Accident,16,Yes,01-09-2023 14:00
13511,18-07-2023 12:00,07-17-2023 22:00,18-07-2023 14:42,Indore,175,EXTORTION,23,M,Poison,Other Crime,8,No,
13512,18-07-2023 20:00,07-17-2023 23:00,18-07-2023 02:41,Bangalore,344,COUNTERFEITING,52,F,Knife,Other Crime,2,Yes,20-08-2023 20:00
13513,18-07-2023 06:00,07-18-2023 00:00,18-07-2023 14:51,Chennai,520,ASSAULT,63,F,Blunt Object,Violent Crime,16,No,
13514,19-07-2023 02:00,07-18-2023 01:00,18-07-2023 19:14,Bangalore,308,FRAUD,58,F,Knife,Other Crime,13,Yes,08-09-2023 02:00
